run,architecture,activation,optimizer,sequence_length,gradient_clipping,accuracy,f1_macro,train_time_per_epoch_sec
1,LSTM,tanh,adam,50,FALSE,0.724,0.722,30.932
2,RNN,tanh,adam,50,FALSE,0.729,0.729,16.150
3,BiLSTM,tanh,adam,50,FALSE,0.734,0.731,45.272
4,LSTM,sigmoid,adam,50,FALSE,0.753,0.753,30.629
5,LSTM,relu,adam,50,FALSE,0.696,0.694,33.339
6,LSTM,tanh,sgd,50,FALSE,0.499,0.333,29.958
7,LSTM,tanh,rmsprop,50,FALSE,0.712,0.705,32.124
8,LSTM,tanh,adam,25,FALSE,0.683,0.683,19.625
9,LSTM,tanh,adam,100,FALSE,0.805,0.805,55.930
10,LSTM,tanh,adam,50,TRUE,0.750,0.750,31.147
11,LSTM,sigmoid,adam,100,FALSE,0.820,0.820,52.706
12,LSTM,sigmoid,adam,100,TRUE,0.819,0.819,51.294
13,RNN,sigmoid,adam,100,FALSE,0.644,0.644,30.194
14,BiLSTM,sigmoid,adam,100,FALSE,0.809,0.808,73.050
15,RNN,tanh,adam,25,FALSE,0.676,0.675,10.361
16,RNN,relu,adam,25,FALSE,0.701,0.700,11.567
17,RNN,sigmoid,adam,25,FALSE,0.679,0.679,11.199
18,RNN,tanh,adam,50,FALSE,0.729,0.729,15.300
19,RNN,relu,adam,50,FALSE,0.750,0.750,15.665
20,RNN,sigmoid,adam,50,FALSE,0.669,0.668,15.848
21,RNN,tanh,adam,100,FALSE,0.497,0.384,29.878
22,RNN,relu,adam,100,FALSE,0.786,0.785,32.345
23,RNN,sigmoid,adam,100,FALSE,0.644,0.644,29.482
24,BiLSTM,tanh,adam,100,TRUE,0.801,0.801,77.572
25,BiLSTM,tanh,adam,100,FALSE,0.803,0.803,78.111
26,BiLSTM,relu,adam,100,TRUE,0.819,0.819,77.179
27,BiLSTM,relu,adam,100,FALSE,0.673,0.671,77.097
